,Cruise,Inc,(hr),YYMMDD,Start(HHMM),End(HHMM),Depth(m),Chla(mg/m3),StdDev(mg/m3),mg/m3,mg/m3.1,Rep #1,Rep #2,Rep #3,Rep #1.1,Rep #2.1,Rep #3.1,PSS-78,#/ml,#/ml.1,#/ml.2,#/ml.3,Unnamed: 22
0,13,I,13.5,900105,535,1900,2,0.12,0.01,0.03,0.01,4.68,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
1,13,I,13.5,900105,535,1900,10,0.11,0.02,0.05,0.02,4.59,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
2,13,I,13.5,900105,535,1900,40,0.13,-9.0,0.04,-9.0,3.97,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
3,13,I,13.5,900105,535,1900,80,0.19,-9.0,0.06,-9.0,2.04,1.6,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
4,13,I,13.5,900105,535,1900,95,0.17,-9.0,0.1,-9.0,1.61,1.48,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
5,13,I,13.5,900105,535,1900,120,0.12,-9.0,0.04,-9.0,0.71,0.69,-9.0,0.11,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
6,13,I,13.5,900105,535,1900,145,0.06,0.0,0.1,0.03,0.12,0.17,-9.0,0.11,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
7,13,I,13.5,900105,535,1900,175,0.01,0.0,0.01,0.0,0.09,0.08,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
8,13,O,12.0,900105,645,1840,2,0.12,0.01,0.03,0.01,3.28,3.88,-9.0,0.36,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
9,13,O,12.0,900105,645,1840,10,0.11,0.02,0.05,0.02,7.42,6.64,-9.0,0.2,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
10,13,O,12.0,900105,645,1840,40,0.13,-9.0,0.04,-9.0,3.54,2.54,-9.0,0.16,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
11,13,O,12.0,900105,645,1840,80,0.19,-9.0,0.06,-9.0,0.52,0.8,-9.0,0.17,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
12,13,O,12.0,900105,645,1840,95,0.17,-9.0,0.1,-9.0,0.86,0.59,-9.0,0.15,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
13,13,O,12.0,900105,645,1840,120,0.12,-9.0,0.04,-9.0,0.3,0.4,-9.0,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
14,13,O,12.0,900105,645,1840,145,0.06,0.0,0.1,0.03,0.1,0.1,-9.0,0.17,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
15,13,O,12.0,900105,645,1840,175,0.01,0.0,0.01,0.0,0.08,0.07,-9.0,0.09,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
16,14,I,12.0,900215,710,1910,4,0.08,0.02,0.03,0.01,2.53,-9.0,-9.0,0.09,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
17,14,I,12.0,900215,710,1910,10,0.1,0.0,0.03,0.0,5.18,5.88,-9.0,0.2,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
18,14,I,12.0,900215,710,1910,30,0.11,0.01,0.03,0.0,3.08,-9.0,-9.0,0.23,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
19,14,I,12.0,900215,710,1910,70,0.22,0.0,0.11,0.01,2.89,3.7,-9.0,0.16,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
20,14,I,12.0,900215,710,1910,88,0.33,0.01,0.23,0.01,-9.0,2.63,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
21,14,I,12.0,900215,710,1910,115,0.22,0.02,0.26,0.01,-9.0,0.83,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
22,14,I,12.0,900215,710,1910,135,0.11,0.06,0.29,0.07,0.26,-9.0,-9.0,0.17,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
23,14,I,12.0,900215,710,1910,160,0.04,0.0,0.06,0.0,-9.0,-9.0,-9.0,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2225299999
24,14,O,12.5,900215,710,1940,4,0.08,0.02,0.03,0.01,4.26,4.67,-9.0,0.17,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
25,14,O,12.5,900215,710,1940,10,0.1,0.0,0.03,0.0,6.79,7.28,-9.0,0.22,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
26,14,O,12.5,900215,710,1940,30,0.11,0.01,0.03,0.0,2.69,2.6,0.24,0.24,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
27,14,O,12.5,900215,710,1940,70,0.22,0.0,0.11,0.01,1.05,1.03,0.18,0.18,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
28,14,O,12.5,900215,710,1940,88,0.33,0.01,0.23,0.01,1.36,1.16,0.12,0.12,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
29,14,O,12.5,900215,710,1940,115,0.22,0.02,0.26,0.01,0.28,0.25,0.09,0.09,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
30,14,O,12.5,900215,710,1940,135,0.11,0.06,0.29,0.07,0.17,0.17,0.1,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
31,14,O,12.5,900215,710,1940,160,0.04,0.0,0.06,0.0,0.12,0.08,0.11,0.11,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
32,15,I,13.5,900319,600,1930,5,0.09,-9.0,0.05,-9.0,4.26,4.37,3.98,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
33,15,I,13.5,900319,600,1930,25,0.11,-9.0,0.04,-9.0,4.14,3.7,3.09,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
34,15,I,13.5,900319,600,1930,45,0.1,-9.0,0.05,-9.0,4.93,4.65,4.41,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
35,15,I,13.5,900319,600,1930,75,0.17,-9.0,0.08,-9.0,4.77,4.95,4.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
36,15,I,13.5,900319,600,1930,100,0.2,-9.0,0.15,-9.0,3.71,3.44,3.34,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
